# twitter_handles
@ukenyatta
@paulkagame
@alsisiofficial
@mbuhari
@KagutaMuseveni
@sapresident
@NAkufoAddo
@magufulijp
@adosolutions
@macky_sall
@PR_Paul_Biya
@presidentabo
@pnkurunziza
@rochkaborepf
@bejiceofficial
@prof_alphaconde
@fegnassingbe
@issoufoumhm
