# twitter_handles
@AOuattara_PRCI
@Dora_Siliya
@ChitaluChilufy3
@noalaskinner
@coumbagadio_ZM
@unicefzambia
@UNZambia
@WHO
@StateHouseKenya
@Macky_Sall
@MagufuliJP
@Presidence_RDC
@CyrilRamaphosa
@BorisJohnson
@KGeorgieva
@gouvbenin
@PaulKagame
@ACAfricaCenter
